,timestamp,context1,context2,context3,context4,context5,context6,drawn_article,reward,article1,article2,article3,article4,article5,article6,article7,article8,article9,article10,article11,article12,article13,article14,article15,article16,article17,article18,article19,article20,article21,propensity_score
0,1241164200,1.0,0.07098600000000001,0.052238,0.064956,0.811287,0.000532,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.5618136
1,1241161800,1.0,0.008078,4e-06,0.025575,0.000275,0.966067,17,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.6916244
2,1241161200,1.0,0.739046,0.068732,0.055614,0.135232,0.001375,29,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.3591152999999999
3,1241163300,1.0,0.323881,0.573462,0.003614,0.096359,0.0026829999999999996,9,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.38804960000000005
4,1241163300,1.0,0.003173,0.001399,9.6e-05,0.000602,0.9947299999999999,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6982316999999999
5,1241162100,1.0,0.035886,0.038053,0.00555,0.134115,0.786396,14,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.6597082
6,1241161500,1.0,0.015111000000000001,0.001755,0.003633,0.042643,0.936859,16,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.6884389
7,1241165400,1.0,0.365996,0.021596,0.131433,0.44236000000000003,0.038613999999999996,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.47659949999999995
8,1241162700,1.0,0.044992000000000004,0.696036,0.000196,0.061695000000000014,0.197081,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.4669837
9,1241165400,1.0,0.043473000000000005,2.7000000000000002e-05,0.93455,0.020735,0.001214,26,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.4936185
10,1241163600,1.0,0.00059,9e-06,0.000391,0.000796,0.9982139999999999,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6996034999999998
11,1241162400,1.0,0.002477,0.000177,0.001385,0.007213,0.988749,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.6979584999999999
12,1241162400,1.0,0.025137,0.9300639999999999,0.00015900000000000002,0.044634,7.000000000000003e-06,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.40643149999999995
13,1241162100,1.0,0.005638000000000001,0.00053,0.0015810000000000002,0.011867,0.980384,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.6960829000000001
14,1241164800,1.0,0.004324000000000001,5e-06,0.9799370000000001,0.015665000000000002,7e-05,13,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.5007157
15,1241165100,1.0,0.061477,0.034657,0.001111,0.030602999999999998,0.8721530000000001,33,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6617303
16,1241163600,1.0,0.12076500000000001,0.821617,0.00041799999999999997,0.057144000000000014,5.600000000000001e-05,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.39941090000000007
17,1241165400,1.0,0.00024300000000000002,6e-06,7.2e-05,0.00025,0.9994290000000001,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6998616000000001
18,1241161800,1.0,0.901767,0.025907,0.05469500000000002,0.016625,0.001006,23,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.3189196
19,1241165100,1.0,0.430762,0.075745,0.08125399999999999,0.410421,0.001818,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.4476788
20,1241163600,1.0,0.553029,0.045877,0.09412899999999999,0.291508,0.015456999999999999,9,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.41704869999999994
21,1241161800,1.0,0.013544999999999998,0.424623,0.00066,0.5451739999999999,0.015998,24,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.5125456999999999
22,1241164500,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,26,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6877769
23,1241163600,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6877769
24,1241161500,1.0,0.220538,0.002548,0.406617,0.177301,0.192996,19,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.5119669
25,1241164500,1.0,0.000412,1e-06,0.000384,0.000362,0.998841,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6997219
26,1241163900,1.0,0.00059,9e-06,0.000391,0.000796,0.9982139999999999,28,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6996034999999998
27,1241164500,1.0,0.003077,0.000567,6.6e-05,0.000608,0.995682,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.6985251
