,context0,context1,context2,context3,action,reward,propensity_score
0,0.35995514730857825,-0.2907797982657767,0.8513960760778629,0.5657639400068846,0.0,0.0,0.5
1,-0.8158589636869475,-0.7968977127469563,0.5184767141564468,0.49579652137989183,1.0,0.5,0.5
2,0.4507851565639762,-0.16816334741610284,-0.7110062555061225,0.19354366065022077,0.0,0.0,0.5
3,-0.9372986802088152,-0.202714739173109,0.5158721129796007,0.640922702591755,0.0,0.5,0.5
4,-0.41507126838295205,-0.1456670428234117,-0.14891769453687909,0.30705562712465073,0.0,0.5,0.5
5,0.38176775507275273,-0.022090923707213106,-0.7783053662481709,-0.6653788961149956,0.0,0.0,0.5
6,0.30360471233678865,0.5332469450162662,0.9221684442009213,0.7089006272810614,1.0,0.5,0.5
7,-0.6953245644428314,-0.30708299107444836,0.30691184622733614,-0.16403433974913417,1.0,0.5,0.5
8,-0.6315435932671543,-0.4900388488145495,0.550210622652638,0.45020550310706375,1.0,0.5,0.5
9,0.7023923304847197,-0.6821502915141182,0.3273116458000682,-0.17299718039737422,1.0,0.5,0.5
10,-0.5440545736197124,0.4985149461027223,0.2326990608676338,-0.2416609207414786,0.0,0.5,0.5
11,0.16812352239239692,0.7559081243023209,0.4860662224590293,-0.9734530631727074,1.0,1.0,0.5
12,0.9384319009554507,0.036973705058289896,0.3348662436950667,-0.9282880449666695,1.0,1.0,0.5
13,0.0646318100206349,-0.5998632164725883,-0.1296119148209136,0.37895754177240293,0.0,0.5,0.5
14,0.3283758441978146,-0.5955984745250307,0.07636122222136987,0.03305068710331094,1.0,0.5,0.5
15,-0.7885690011006439,-0.9077093126769338,0.836919996660787,0.007182346423425079,1.0,0.5,0.5
16,0.50103883533653,-0.08898371517588144,0.5440364494458905,-0.38805232475629725,1.0,0.5,0.5
17,0.1717539327616482,-0.3258281477410305,0.7952724309696559,-0.16998754931454685,0.0,0.0,0.5
18,-0.005606726522677796,0.9249305697576409,-0.41895267671915026,0.6527792106307566,1.0,1.0,0.5
19,-0.4683190056433373,-0.4234552324246015,0.9979144026759563,-0.09538385466160348,1.0,0.5,0.5
20,0.7316543182414086,0.8910222197769335,-0.37790758933636237,-0.15168358533686277,1.0,1.0,0.5
21,0.9634108679661024,0.38003360106511686,0.03343500787366138,0.27140445253164613,0.0,0.0,0.5
22,0.1564719831074095,0.19920039866800754,-0.006547191247848971,0.0419171600894952,1.0,0.5,0.5
23,-0.3565094312401833,0.9898189396340913,-0.7331849500858594,0.13097833703984052,1.0,1.0,0.5
