timestamp,context1,context2,context3,context4,context5,context6,drawn_article,reward,article1,article2,article3,article4,article5,article6,article7,article8,article9,article10,article11,article12,article13,article14,article15,article16,article17,article18,article19,article20,article21
1241164200,22026.465794806718,2.0337065198027244,1.6860356431254409,1.9146981764462896,3337.141896423447,1.0053341763282062,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241161800,22026.465794806718,1.084132361209367,1.0000400008000108,1.2914298301216278,1.0027537847185302,15688.292303481558,17,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,
1241161200,22026.465794806718,1620.4513491368298,1.9883795290533808,1.7439279298402193,3.866385147064491,1.0138449660116942,29,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,
1241163300,22026.465794806718,25.503354690454593,309.39537817432495,1.0368009884691338,2.6210893138232385,1.027193165081643,9,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241163300,22026.465794806718,1.032238763210562,1.0140883180046076,1.0009604609474914,1.0060381566159908,20895.72768351101,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241162100,22026.465794806718,1.4316963500513724,1.4630598056807835,1.0570690170724228,3.823437931708352,2601.803142540603,14,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,
1241161500,22026.465794806718,1.1631245947505968,1.017704906123958,1.036997999372386,1.5317792986389616,11714.585871035648,16,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,
1241165400,22026.465794806718,38.859788448706276,1.2410527358983805,3.722256237924777,83.39597109630164,1.4712906370859598,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241162700,22026.465794806718,1.5681867255337951,1054.0129336065747,1.0019619220555378,1.8532669488740197,7.176487089277858,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241165400,22026.465794806718,1.5445459752342572,1.0002700364532808,11447.194990791935,1.2304131410260986,1.0122139889052904,26,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241163600,22026.465794806718,1.005917439280382,1.0000900040501215,1.0039176540224914,1.0079917650272685,21636.565291344494,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,
1241162400,22026.465794806718,1.025079325164214,1.0017715673746146,1.0139463555776889,1.0747950583397732,19682.594573485872,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9.0
1241162400,22026.465794806718,1.2857857370527248,10945.021781042704,1.001591264720213,1.5625826543291736,1.000070002450057,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9.0
